PM10,SO2,CO,NO2,HKIsonuc
42.32,11.88,1020.44,29.38,1
39.98,12.46,737.06,26.65,1
39.3,12.71,1091.75,30.16,1
42.14,13.44,968.64,29.89,1
45.86,14.01,1111.7,33.07,1
43.07,13.39,834.28,31.52,1
47.09,13.95,673.92,33.6,1
43.63,13.92,1003.41,35.3,1
43.28,14.46,838.03,33.71,1
29.09,14.22,722.62,31.35,1
38.1,14.79,785.34,29.46,1
29.74,14.85,834.0,31.85,1
35.96,15.32,832.02,34.82,1
40.32,15.62,1132.01,40.32,1
40.42,15.31,767.91,32.37,1
41.83,15.8,994.41,26.63,1
42.77,16.21,783.97,32.96,1
68.44,16.66,665.18,51.87,2
44.53,17.17,624.35,22.8,1
54.56,17.19,444.73,5.5,1
72.85,18.07,532.07,5.53,1
62.42,18.34,985.58,5.49,1
45.86,18.23,870.15,5.35,1
29.24,20.81,559.06,4.18,0
29.8,21.91,469.86,4.81,0
56.48,22.68,769.69,6.33,1
61.42,23.23,632.55,6.0,1
48.82,23.79,1042.11,6.09,1
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
53.07,24.13,753.46,15.72,1
39.45,24.02,944.62,14.95,1
34.97,23.85,949.71,12.63,1
55.72,24.63,617.65,18.97,1
59.7,25.24,487.97,21.42,1
71.63,26.11,982.2,18.98,2
69.83,25.92,1023.67,18.05,2
49.95,25.49,605.99,11.08,1
32.92,26.5,907.87,10.92,1
33.54,16.18,852.89,13.11,1
42.68,11.53,694.57,14.51,1
28.58,11.68,739.32,13.09,0
37.95,12.31,1352.08,14.87,1
59.83,13.65,833.11,15.38,1
71.13,14.04,804.19,16.8,1
40.58,13.56,991.43,12.25,1
49.5,14.24,760.4,12.95,1
57.76,14.91,1104.7,14.36,1
71.95,15.85,1033.56,17.15,1
89.5,16.67,1111.12,16.73,2
109.56,17.62,965.89,20.89,2
122.46,18.84,800.0,19.06,2
116.85,18.6,1204.29,19.1,2
97.35,18.5,754.96,18.63,2
65.82,18.11,682.04,15.15,1
45.13,14.44,771.12,15.89,1
51.28,15.16,1047.19,24.17,1
52.05,15.45,809.14,19.0,1
60.07,16.07,901.8,22.58,1
50.64,16.24,597.08,18.14,0
41.2,16.02,979.63,18.82,1
63.51,16.96,1411.61,24.42,1
76.59,17.97,1516.97,27.33,2
98.86,19.03,722.01,38.05,2
100.23,18.64,657.15,30.8,0
40.97,17.28,559.67,21.13,1
44.17,18.15,899.1,26.76,1
83.77,19.62,791.43,38.04,2
92.54,18.18,1096.19,28.19,2
62.08,17.84,1859.73,31.5,2
85.39,17.35,1430.96,29.3,2
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
63.50433048433049,73.62749999999997,960.2302424242415,32.453860294117646,2
86.9,73.62749999999997,822.34,26.49,2
91.74,84.36,1193.61,27.4,1
102.7,105.17,891.4,28.17,0
89.06,83.1,1298.01,27.43,2
123.1,209.28,1444.77,40.49,1
122.48,199.45,1329.88,35.04,1
94.55,127.9,1214.63,31.59,1
139.39,202.61,785.22,36.88,0
142.26,163.44,645.36,35.0,0
145.17,167.65,1390.26,39.17,1
129.09,176.79,840.04,39.5,1
130.96,192.92,1226.36,38.91,1
138.19,191.39,1543.15,51.74,1
131.99,168.42,1281.0,56.83,0
96.95,125.31,976.38,37.1,0
119.22,170.18,573.1,38.26,1
74.33,66.42,739.92,30.07,2
78.99,124.64,1007.8,39.91,1
71.31,109.21,1169.73,27.98,2
96.54,158.72,982.04,25.81,1
40.58,69.41,906.29,13.04,1
105.97,201.8,741.34,43.19,1
34.94,32.93,906.13,12.06,1
75.66,193.63,963.61,30.31,0
126.41,295.07,1161.48,44.36,0
72.82,121.73,880.17,28.36,0
37.26,132.87,1195.32,25.82,2
109.9,318.1,1112.68,42.07,0
137.18,123.96,1027.99,46.02,1
100.01,164.88,841.43,37.92,1
119.61,357.61,766.08,46.44,1
145.55,267.87,966.12,43.08,1
135.09,313.92,1545.18,53.41,1
2158.19,346.55,996.0,53.74,0
108.7,207.64,594.01,45.25,0
38.41,161.44,481.87,25.76,2
95.02,271.27,1231.91,46.86,0
123.28,230.62,830.0,47.15,0
131.32,139.55,980.14,52.8,1
132.14,73.62749999999997,1210.04,54.42,1
143.47,117.32,1068.31,57.57,1
142.91,97.22,878.02,56.24,0
104.81,145.96,533.27,35.28,0
62.74,140.2,852.38,22.64,2
28.71,63.63,944.06,19.96,1
48.48,77.31,1317.97,35.39,2
